price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
12700000,ready to move,1245,10200,2 bhk apartment in m3m marina,sector 68,banjara,not approved by rera,2,m3m mar,m3m,apartment,value-mid,1.27
39500000,ready to move,5579,7080,4 bhk independent floor,palam vihar,ajay properties,not approved by rera,4,outside socity,outside,plot,premium,3.95
41200000,under construction,2937,14027,4 bhk apartment in whiteland the aspen,sector 76,ajay properties,approved by rera,4,whiteland the aspen,whiteland,apartment,premium,4.12
26000000,ready to move,2224,11690,4 bhk apartment in eros wembley premium tower,sector 49,aadmire real estate,not approved by rera,4,eros wembley premium tower,eros,apartment,premium,2.6
18500000,ready to move,2085,8872,4 bhk apartment in spaze privy,sector 72,ajay properties,not approved by rera,4,spaze privy,spaze,apartment,value-mid,1.85
9778000,under construction,900,10865,3 bhk independent house,sector 105,aadmire real estate,not approved by rera,3,outside socity,outside,plot,budget,0.9778
10800000,under construction,950,11368,3 bhk independent house,sector 105,aadmire real estate,not approved by rera,3,outside socity,outside,plot,budget,1.08
11000000,under construction,900,12222,3 bhk independent house,sector 105,aadmire real estate,not approved by rera,3,outside socity,outside,plot,budget,1.1
11000000,ready to move,1690,6508,3 bhk apartment in mapsko casa bella,sector 82,urban homes,not approved by rera,3,mapsko casa bella,mapsko,apartment,budget,1.1
19500000,ready to move,2067,9433,3 bhk apartment in alphacorp gurgaon one 84,sector 84,urban homes,not approved by rera,3,alphacorp gurgaon one 84,alphacorp,apartment,value-mid,1.95
11500000,ready to move,1430,8041,3 bhk apartment in mapsko casa bella,sector 82,urban homes,not approved by rera,3,mapsko casa bella,mapsko,apartment,budget,1.15
35500000,ready to move,2025,17530,3 bhk apartment in m3m merlin,sector 67,vk real estate,not approved by rera,3,m3m merl,m3m,apartment,premium,3.55
18000000,ready to move,2400,7500,3 bhk independent floor in vatika premium floors,sector 82,vk real estate,not approved by rera,3,vatika premium floors,vatika,floor,value-mid,1.8
21700000,under construction,1600,13562,3 bhk independent floor in trehan luxury floors 71,sector 71,investors junction,approved by rera,3,trehan luxury floors 71,trehan,floor,value-mid,2.17
20000000,under construction,1950,10256,3 bhk apartment in vatika vatika seven elements,sector 89a,property in gurgaon,approved by rera,3,vatika vatika seven elements,vatika,apartment,value-mid,2.0
30000000,ready to move,2097,14306,3 bhk apartment in unitech espace,sector 50,properties for sale in gurgaon,not approved by rera,3,unitech espace,unitech,apartment,premium,3.0
2000000,ready to move,830,2409,2 bhk apartment in star realcon star amd the essentia sportz wembley and lords,milakpur goojar,aadmire real estate,not approved by rera,2,star realcon star amd the essentia sportz wembley and lords,star,apartment,budget,0.2
21500000,ready to move,1350,15925,2 bhk apartment in ireo skyon,sector 60,jsr realtors,not approved by rera,2,ireo skyon,ireo,apartment,value-mid,2.15
23000000,ready to move,2300,10000,3 bhk independent floor in dlf alameda,sector 73,silverkeys realestate,not approved by rera,3,dlf alameda,dlf,floor,premium,2.3
21500000,ready to move,1789,12017,3 bhk apartment in central park flower valley,sector 33 sohna,laxmi real estate,not approved by rera,3,central park flower valley,central,apartment,value-mid,2.15
23500000,ready to move,2300,10217,3 bhk independent floor in ansal versalia phase a1,sector 67,silverkeys realestate,not approved by rera,3,ansal versalia phase a1,ansal,floor,premium,2.35
36000000,ready to move,4650,7741,4 bhk independent floor in ansal palam vihar plot,palam vihar extension,jsr realtors,not approved by rera,4,ansal palam vihar plot,ansal,floor,premium,3.6
42500000,under construction,2262,18788,3 bhk apartment in emaar urban oasis,sector 62,jsr realtors,approved by rera,3,emaar urban oasis,emaar,apartment,ultra-luxury,4.25
25700000,under construction,2505,10259,4 bhk apartment in vatika the seven elements,sector 89a,jsr realtors,approved by rera,4,vatika the seven elements,vatika,apartment,premium,2.57
19900000,under construction,1500,13266,2 bhk apartment in m3m golf hills phase 1,sector 79,ajay properties,approved by rera,2,m3m golf hills phase 1,m3m,apartment,value-mid,1.99
18000000,ready to move,1376,13081,2 bhk apartment in tata tata la vida,sector 113,seller,not approved by rera,2,tata tata la vida,tata,apartment,value-mid,1.8
2700000,under construction,840,3214,2 bhk apartment,sector 110,investors junction,not approved by rera,2,outside socity,outside,plot,budget,0.27
4850000,ready to move,810,5987,2 bhk apartment in apex our homes,sector 37c,om properties,not approved by rera,2,apex our homes,apex,apartment,budget,0.485
6900000,ready to move,891,7744,2 bhk apartment in lotus homz,sector 111,om properties,not approved by rera,2,lotus homz,lotus,apartment,budget,0.69
27000000,ready to move,3240,8333,4 bhk independent floor,sector 110,om properties,not approved by rera,4,outside socity,outside,plot,premium,2.7
12000000,ready to move,900,13333,3 bhk independent house,sector 110,propbull team,not approved by rera,3,outside socity,outside,plot,budget,1.2
11000000,ready to move,1895,5804,4 bhk apartment,sector 92,oasis real estate,not approved by rera,4,outside socity,outside,plot,budget,1.1
16500000,ready to move,2300,7173,3 bhk independent floor,sector 57,oasis real estate,not approved by rera,3,outside socity,outside,plot,value-mid,1.65
29500000,ready to move,2250,13111,3 bhk apartment in bptp freedom park life,sector 57,om properties,not approved by rera,3,bptp freedom park life,bptp,apartment,premium,2.95
13500000,ready to move,1733,7789,3 bhk apartment in vatika gurgaon 21,sector 83,propbull team,not approved by rera,3,vatika gurgaon 21,vatika,apartment,value-mid,1.35
21000000,ready to move,2367,8871,3 bhk independent floor,sector 46,oasis real estate,not approved by rera,3,outside socity,outside,plot,value-mid,2.1
15400000,ready to move,1728,8938,3 bhk independent floor,sector 48,rajendra singh negi,not approved by rera,3,outside socity,outside,plot,value-mid,1.54
6800000,ready to move,950,7157,2 bhk apartment in lotus homz,sector 111,griha siddhi estate,not approved by rera,2,lotus homz,lotus,apartment,budget,0.68
17500000,ready to move,1276,13714,2 bhk apartment in tata tata la vida,sector 113,jdm real estate,not approved by rera,2,tata tata la vida,tata,apartment,value-mid,1.75
8500000,ready to move,1300,6538,3 bhk independent floor in tanishq residency,sector 33,fair deal realtors,not approved by rera,3,tanishq residency,tanishq,floor,budget,0.85
4000000,ready to move,900,4444,2 bhk independent floor,nurpur jharsa,busy street consultants,not approved by rera,2,outside socity,outside,plot,budget,0.4
20500000,ready to move,1762,11634,2 bhk apartment in unitech harmony,sector 50,busy street consultants,not approved by rera,2,unitech harmony,unitech,apartment,value-mid,2.05
9000000,ready to move,1000,9000,2 bhk independent floor,sector 56,tanishq realtor developers,not approved by rera,2,outside socity,outside,plot,budget,0.9
16500000,under construction,1685,9792,3 bhk apartment in assotech blith,sector 99,tanishq realtor developers,approved by rera,3,assotech blith,assotech,apartment,value-mid,1.65
